name,ticker,consensus,market cap,power consumption,annual energy consumption,carbon emissions,average_liquidity,volatility,normalized energy,normalized carbon,raw environmental score,environmental score,ethical sentiment,ethical impact
polkadot,dot,PoS,6978103466.0,99.9 kW,876014700.0,265816.9,7007940957.062494,0.0501077769548681,5.338268738730187e-06,0.0024083980265638023,0.0012068681476512,0.0014794433098194437,0.30910000000000004,0.139145494518121
cosmos,atom,PoS,1971946038.0,84.7 kW,742082900.0,340616.1,3834458451.6056886,0.0507719842307121,4.522109079961646e-06,0.0030861060491483372,0.0015453140791141,0.0018943307101425162,0.39083333333333337,0.12306958459662465
sui,sui,PoS,8882108339.0,95.8 kW,838990800.0,385096.8,31206855332.962406,0.0648075448986892,5.112650822818651e-06,0.0034891174080957047,0.0017471150294592,0.002141710465335649,0.33705,0.1339876920235674
algorand,algo,PoS,1998984390.0,213.4 kW,1709016700.0,587661.8,3148591248.5942383,0.048839126430662,1.0414453991773244e-05,0.005324430160034715,0.0026674223070132,0.003269878537063935,0.24240000000000003,0.15365393784561057
bitcoin-cash,bch,PoW,6121863769.0,0.1 GW,700000000000.0,300000.0,5204747041.301925,0.0391932264073996,0.00426569162230637,0.0027181093751719346,0.0034919004987391,0.004280573545598033,0.40455,0.12188352039899134
arbitrum,arb,PoS,1803782469.0,,2244754800.0,1030337.1,6359614091.837689,0.0569856720692364,1.3679159049760267e-05,0.009335229770324877,0.0046744544646873,0.005730219397605475,0.5,0.10373956357174986
avalanche-2,avax,PoS,8836869675.0,374.7 kW,3304933400.0,1233997.1,10994962992.390484,0.0511674032301868,2.0139723340016273e-05,0.011180463621483266,0.0056003016724116,0.006865178649290904,0.5,0.10448024133792932
near,near,PoS,3725039408.0,349.5 kW,3051978000.0,1239086.0,5835124837.493943,0.0535309245878072,1.8598252285735963e-05,0.011226570910814306,0.00562258458155,0.006892494380947378,0.3634,0.13181806766524004
tron,trx,PoS,19838520315.0,416.2 kW,3573940300.0,1353136.9,21307490806.10392,0.0297889586739469,2.1779009750789392e-05,0.012259913645936961,0.0061408463278438,0.007527810833644345,0.4089333333333333,0.12312601039560844
tontoken,ton,PoS,8098045985.0,715.9 kW,6117282900.0,1789224.8,55673.62655130788,0.0905910245235211,3.727774588774487e-05,0.016211029010567098,0.0081241533782274,0.009959068029201067,0.30910000000000004,0.14467932270258194
ethereum,eth,PoS,262408446486.0,690.8 kW,6042204600.0,1916906.6,679143167028.8904,0.0375165929638035,3.682023034842619e-05,0.017367872669296527,0.0087023464498224,0.010667851908865336,0.5,0.10696187715985798
litecoin,ltc,PoW,9487745426.0,0.4 GW,3100000000000.0,1300000.0,30283509094.968784,0.0504682029742326,0.018890920141929776,0.011778473959078384,0.015334697050504,0.018798186603255343,0.3634,0.1395877576404033
solana,sol,PoS,71276257667.0,"1,925.9 kW",16839920700.0,5226440.1,126956089645.37862,0.0466018211976261,0.00010261984095364154,0.047353452781948475,0.023728036311451,0.029087247224997833,0.4089333333333333,0.13719576238249417
dogecoin,doge,PoW,30027121709.0,1.0 GW,8800000000000.0,3700000.0,49691159399.423744,0.0503781011667843,0.05362583787603537,0.03352334896045386,0.0435745934182446,0.05341635187048714,0.5,0.1348596747345957
filecoin,fil,PoS,2032216000.0,"25,488.1 kW",221045223100.0,110370834.5,4553069522.3752365,0.0551473988101888,0.0013470153461698092,1.0,0.5006735076730849,0.613755722493054,0.30910000000000004,0.5387188061384679
bitcoin,btc,PoW,1684005058263.0,18.8 GW,164100000000000.0,69700000.0,1164597458958.513,0.0209992446289018,1.0,0.6315074114982795,0.8157537057491397,1.0,0.3634,0.7799229645993119
